228,AutoCAD 2015 (+ DVD),ID 31003630,Наука и техника,805
229,                Изучаем Java EE 7                ,ID 30536743,Питер,725
230,                В стеклянной клетке. Автоматизация и мы                ,ID 31144136,null,149
231,                Программирование в 1С:Предприятие 8.3                ,ID 31144414,Питер,277
232,                ComputerBild №01/2015                ,ID 31144481,Бурда,75
233,"Вычисления, графики и анализ данных в Excel 2013. Самоучитель",ID 31104402,Наука и техника,491
234,                Информатика. Шпаргалка                ,ID 31166859,Научная Книга,99
235,                Информатика и ИКТ. 10–11 класс. Профильный уровень. Часть 2                ,ID 31156599,Дрофа,338
236,                Модернизация компьютера                ,ID 31191444,Научная Книга,159
237,Excel 2013. Полное руководство. Готовые ответы и полезные приемы профессиональной работы. (+ DVD),ID 31104400,Наука и техника,557
238,Моделирование когнитивной эволюции. На пути к теории эволюционного происхождения мышления,ID 31212101,Ленанд,902
239,iPad для всех!,ID 30672414,АСТ,220
240,Компьютер и ноутбук для любого возраста,ID 31186331,АСТ,247
241,"Осваиваем компьютер, ноутбук, планшет, смартфон. Подробный и понятный самоучитель для любого возраста",ID 31166411,"Книжный клуб ""Клуб семейного досуга"". Белгород",382
242,Секретная книга internet-пирата,ID 31214906,Мартин,111
243,                Локальная СУБД своими руками. Учимся на примерах                ,ID 31247478,Солон-Пресс,400
244,Windows 8.1. Все об использовании и настройках. Самоучитель,ID 31214773,Наука и техника,592
245,WinRT. Программирование на C# для профессионалов,ID 27995391,Вильямс,1 176
246,Программируем для iPhone и iPad,ID 27864854,Питер,1 065
247,Ваш ноутбук. Работаем в Windows 8 и Office 2013,ID 27569930,Питер,255
248,Ubuntu и Debian Linux для продвинутых. Более 1000 незаменимых команд,ID 27615153,Питер,893
249,Steinberg Cubase. Создание музыки на компьютере,ID 29421703,БХВ-Петербург,667
250,Windows Server 2012 Hyper-V. Книга рецептов,ID 31239397,ДМК Пресс,680
251,                Планета Вода                ,ID 31364339,Захаров,481
252,Mastering Autodesk Maya 2014,ID 24048071,"John Wiley and Sons, Ltd",5 578
253,NX Advanced Simulation. Практическое пособие,ID 30944524,ДМК Пресс,242
254,Программирование обработки в NX CAM,ID 30944526,ДМК Пресс,687
255,                Журнал Computerworld Россия №31/2014                ,ID 31022921,Открытые Системы,60
256,                Будущее разума                ,ID 31022928,null,329
257,Видеомонтаж в Sony Vegas PRO 13 (+ DVD),ID 30944525,ДМК Пресс,544
258,"Системный анализ и синтез стратегических решений в инноватике. Математические, эвристические и интеллектуальные методы системного анализа и синтеза инноваций. Учебное пособие",ID 30916543,Ленанд,797
259,Node.js. Путеводитель по технологии,ID 30944530,ДМК Пресс,544
260,Использование приложения MS Excel для моделирования различных задач. Практическое пособие,ID 30944533,Солон-Пресс,316
261,                Photoshop CC 2014. Исчерпывающее руководство                ,ID 31014774,null,890
